Time,Timeframe,SMA,SMA Value,High,Low,Close
1970-01-01 00:00:00.000023694,60min,100,60.5923,60.95,60.59,60.72
1970-01-01 00:00:00.000023693,60min,100,60.6489,61.03,60.62,60.78
1970-01-01 00:00:00.000023692,60min,100,60.7063,60.9,60.13,60.79
1970-01-01 00:00:00.000023691,60min,100,60.7644,60.99,60.25,60.3
1970-01-01 00:00:00.000023690,60min,100,60.828,62.28,60.64,60.73
1970-01-01 00:00:00.000023678,60min,100,61.3854,62.93,61.38,61.54
1970-01-01 00:00:00.000023677,60min,100,61.4532,62.29,56.42,61.68
1970-01-01 00:00:00.000023677,60min,50,59.4472,62.29,56.42,61.68
1970-01-01 00:00:00.000023653,60min,50,60.936,61.5,59.74,59.9
1970-01-01 00:00:00.000023652,60min,50,60.975,61.64,60.42,61.5
1970-01-01 00:00:00.000023651,60min,50,60.9796,61.68,60.82,60.83
1970-01-01 00:00:00.000023650,60min,50,61.0148,61.68,60.72,61.24
1970-01-01 00:00:00.000023649,60min,50,61.0812,61.33,60.95,61.12
1970-01-01 00:00:00.000023648,60min,50,61.146,61.25,60.65,61.24
1970-01-01 00:00:00.000023628,60min,50,63.3146,63.9,60.86,61.09
1970-01-01 00:00:00.000023574,60min,200,69.8567,69.86,69.49,69.5
1970-01-01 00:00:00.000023573,60min,200,69.8484,70.03,69.76,69.76
1970-01-01 00:00:00.000023570,60min,200,69.8165,70.02,69.67,69.97
1970-01-01 00:00:00.000023569,60min,200,69.8063,70.05,69.47,69.77
1970-01-01 00:00:00.000023568,60min,200,69.798,69.81,69.28,69.77
1970-01-01 00:00:00.000023567,60min,200,69.7901,69.85,69.27,69.37
1970-01-01 00:00:00.000023566,60min,200,69.7843,70.41,69.53,69.82
1970-01-01 00:00:00.000023565,60min,50,71.3464,72.28,70.59,70.73
1970-01-01 00:00:00.000023560,60min,50,71.2754,71.53,71.0,71.43
1970-01-01 00:00:00.000023559,60min,50,71.2394,71.57,71.09,71.39
1970-01-01 00:00:00.000023555,60min,50,71.1306,71.16,70.73,70.75
1970-01-01 00:00:00.000023554,60min,50,71.1018,71.27,71.06,71.16
1970-01-01 00:00:00.000023553,60min,50,71.0636,71.17,70.72,71.15
1970-01-01 00:00:00.000023552,60min,50,71.0212,71.08,70.68,70.76
1970-01-01 00:00:00.000023512,60min,50,69.6104,70.44,69.56,70.43
1970-01-01 00:00:00.000023511,60min,100,69.5251,69.85,69.42,69.81
1970-01-01 00:00:00.000023511,60min,50,69.5902,69.85,69.42,69.81
1970-01-01 00:00:00.000023510,60min,50,69.5806,69.69,69.38,69.63
1970-01-01 00:00:00.000023510,60min,100,69.5178,69.69,69.38,69.63
