side,entry_time,entry_idx,entry_price,exit_time,exit_idx,exit_price,pnl,bars_held,exit_reason,rsi_exit,macd_exit,signal_exit,macd_hist_exit,atr_exit
long,24-12-2024 7.55,311,6034.0,24-12-2024 8.45,321,6033.0,-101.3,10,MACD_cross,45.18425657008623,0.1897918955555724,0.21818165234021444,-0.028389756784642034,2.035164299047157
long,24-12-2024 10.40,344,6034.0,24-12-2024 10.55,347,6034.25,23.7,3,MACD_cross,49.03841814659324,0.08760137881836272,0.1067723600617515,-0.019170981243388785,1.1092015232700556
long,24-12-2024 17.55,431,6042.0,24-12-2024 18.05,433,6040.75,-126.3,2,MACD_cross,44.967672819810204,-0.16657338781897124,-0.13950374767245877,-0.027069640146512475,1.999124941869819
long,24-12-2024 18.35,439,6042.0,24-12-2024 19.30,450,6046.967958022759,495.4958022759376,11,TP,63.429763864948654,0.8434176445998673,0.49922339740591204,0.3441942471939553,1.892094907383776
short,26-12-2024 19.05,676,6078.0,26-12-2024 19.55,686,6079.25,-126.3,10,MACD_cross,56.78947051274077,0.06267085778654291,0.006603050953613896,0.056067806832929015,3.38513557045891
short,30-12-2024 11.30,1137,6016.5,30-12-2024 11.35,1138,6017.0,-51.3,1,MACD_cross,52.00137659050775,-1.0234018814071533,-1.2220371685612137,0.19863528715406042,1.9811231958101176
short,30-12-2024 16.20,1195,6013.0,30-12-2024 16.45,1200,6014.25,-126.3,5,MACD_cross,56.8894680551673,0.390391667354379,0.35837048550076733,0.03202118185361169,1.641325807777761
short,02-01-2025 6.15,1626,5935.0,02-01-2025 6.20,1627,5936.0,-101.3,1,MACD_cross,53.02226523802663,-2.722185575745243,-3.301499415937548,0.579313840192305,6.326485877286078
long,02-01-2025 15.05,1732,5964.25,02-01-2025 15.40,1739,5965.75,148.7,7,MACD_cross,47.614678701209044,1.1157471604656166,1.2040948436279346,-0.088347683162318,4.992317957169658
long,03-01-2025 11.15,1962,5928.25,03-01-2025 11.20,1963,5925.75,-251.3,1,MACD_cross,39.63812855037195,-0.7626934533154781,-0.7313813548095707,-0.03131209850590744,1.8593496782588537
long,06-01-2025 5.00,2163,5986.0,06-01-2025 5.45,2172,5986.5,48.7,9,MACD_cross,44.8604318937679,0.7070696057326131,0.9459099139121032,-0.2388403081794901,2.950635101793284
short,07-01-2025 5.10,2441,6027.5,07-01-2025 6.45,2460,6020.118448654278,736.8551345722074,19,TP,34.161138491823706,-1.0902771635091995,-0.5314445004676293,-0.5588326630415702,2.203373013938302
short,07-01-2025 9.00,2487,6020.5,07-01-2025 9.05,2488,6020.0,48.7,1,MACD_cross,48.38132576225121,-1.2343818556291808,-1.3788801088342744,0.14449825320509357,1.973231324086521
long,07-01-2025 18.35,2602,6026.25,07-01-2025 19.15,2610,6033.197106029497,693.4106029497264,8,TP,66.09286312634373,1.8049095162950834,1.3673692805778543,0.4375402357172291,2.8010160393966674
short,08-01-2025 20.35,2902,5949.0,08-01-2025 21.20,2911,5948.0,98.7,9,MACD_cross,53.96742630077503,-2.2444820998307478,-2.7930370636840536,0.5485549638533058,10.251430382322393
short,09-01-2025 18.15,3150,5948.25,09-01-2025 18.20,3151,5948.5,-26.3,1,MACD_cross,50.910768488913774,-0.9015110462569282,-0.9433574723177698,0.041846426060841546,3.1293353590806112
long,10-01-2025 13.25,3278,5942.25,10-01-2025 13.45,3282,5948.815666740863,655.266674086298,4,TP,63.429569605092006,1.0390776129997903,0.4524746283843502,0.5866029846154401,3.197497217677988
long,10-01-2025 18.45,3342,5947.75,10-01-2025 18.50,3343,5944.25,-351.3,1,MACD_cross,42.9108358329688,0.02217184846631426,0.20376501059921684,-0.18159316213290258,4.0496962267325385
short,11-01-2025 1.25,3422,5882.75,11-01-2025 1.45,3426,5862.283780218015,2045.3219781985274,4,TP,36.94554041735446,-2.224754090888382,0.3405926996858387,-2.5653467905742207,8.719173815007013
short,13-01-2025 17.45,3606,5818.75,13-01-2025 17.50,3607,5825.0,-626.3,1,MACD_cross,61.165792882825954,-0.13105352648926782,-0.6119223981141926,0.48086887162492475,4.591176524894827
short,14-01-2025 21.10,3923,5895.0,14-01-2025 21.30,3927,5870.443152587381,2454.384741261939,4,TP,33.44732717586561,-4.878045581906008,-2.1937690454878225,-2.6842765364181855,10.617392429735867
long,15-01-2025 7.00,4029,5886.0,15-01-2025 7.05,4030,5886.5,48.7,1,MACD_cross,51.42753690868713,0.4885786282338813,0.519370950497883,-0.030792322264001637,1.7916254755478287
long,15-01-2025 23.25,4226,5971.0,16-01-2025 0.00,4233,5986.673308484418,1566.0308484418158,7,TP,62.599026119493395,3.521562063275269,2.595152052089268,0.9264100111860007,5.379295285092736
long,16-01-2025 9.00,4329,5992.5,16-01-2025 9.15,4332,5990.25,-226.3,3,MACD_cross,39.716756753295435,-0.3316714759776005,-0.3306406507840818,-0.001030825193518714,1.7073080955610027
long,16-01-2025 16.30,4419,6005.5,16-01-2025 16.45,4422,6003.75,-176.3,3,MACD_cross,45.6562555185397,0.2948390654855757,0.3756835076781718,-0.08084444219259612,3.1694299819256027
long,18-01-2025 2.10,4811,6040.5,18-01-2025 2.25,4814,6034.724793106949,-578.820689305129,3,SL,36.040303986874314,-1.224008101583422,-0.880652870318311,-0.34335523126511114,4.476586380960761
short,20-01-2025 8.25,4874,6027.25,20-01-2025 8.40,4877,6028.25,-101.3,3,MACD_cross,54.560246716417886,0.06317530227534007,0.058202083788319245,0.004973218487020828,1.7767881684287785
long,20-01-2025 16.40,4973,6037.0,20-01-2025 16.45,4974,6036.5,-51.3,1,MACD_cross,46.418933168084585,0.01983535690669669,0.07253394432716222,-0.05269858742046553,2.1841038112620113
long,20-01-2025 23.25,5054,6055.25,21-01-2025 5.35,5068,6070.089665477947,1482.6665477947165,14,TP,66.30554964462068,3.1152229119306867,2.404338451166437,0.7108844607642495,4.388173056460945
short,21-01-2025 9.55,5120,6044.5,21-01-2025 11.40,5141,6042.0,248.7,21,MACD_cross,50.77434434113526,-0.8167333964238424,-0.8575433355972677,0.04080993917342535,2.558026820452179
long,21-01-2025 18.10,5219,6055.5,21-01-2025 19.30,5235,6064.2302034661,871.7203466099738,16,TP,66.46668878494462,1.911496219890978,1.067556744867333,0.8439394750236449,3.2676994323900157
long,21-01-2025 22.10,5267,6060.25,21-01-2025 23.00,5277,6075.719406405353,1545.6406405352857,10,TP,65.0505617902325,3.4605350813435507,2.7020622483749674,0.7584728329685833,5.223310795208609
short,23-01-2025 11.40,5693,6115.25,23-01-2025 12.05,5698,6112.851252505671,238.5747494328745,5,TP,33.94125420979596,-0.5298083454999869,-0.23338499781295916,-0.2964233476870277,1.0875188934756852
short,23-01-2025 16.30,5751,6108.75,23-01-2025 16.45,5754,6109.75,-101.3,3,MACD_cross,54.65337143668144,0.23236620216812298,0.23217873884778403,0.00018746332033894864,2.0614274249749567
long,24-01-2025 22.25,6098,6149.5,24-01-2025 22.30,6099,6149.25,-26.3,1,MACD_cross,46.499221709388955,0.9126779869984603,0.9658239320519482,-0.05314594505348791,3.46614277368681
long,28-01-2025 7.15,6468,6047.0,28-01-2025 7.25,6470,6041.236005299557,-577.6994700442708,2,SL,33.64600611814565,-0.22209904360533983,0.6561702810403627,-0.8782693246457025,4.741888110118384
short,28-01-2025 11.25,6518,6043.5,28-01-2025 11.30,6519,6045.0,-151.3,1,MACD_cross,54.76980982294342,-0.9087957038063905,-1.0323821616147792,0.12358645780838873,2.7368425106563317
long,28-01-2025 13.40,6545,6046.25,28-01-2025 13.55,6548,6048.0,173.7,3,MACD_cross,52.100389230469936,1.5752909551301855,1.709718475757387,-0.13442752062720142,3.9694477695418655
long,29-01-2025 4.55,6716,6092.5,29-01-2025 5.00,6717,6089.5,-301.3,1,MACD_cross,42.48202003212245,-1.2269304343672047,-1.2197094909016617,-0.007220943465543028,2.90488511980453
long,29-01-2025 7.25,6746,6091.75,29-01-2025 7.45,6750,6091.0,-76.3,4,MACD_cross,45.66811043389978,0.1976093865432631,0.2909255653741861,-0.09331617883092302,1.653570390945203
short,30-01-2025 5.20,6997,6069.5,30-01-2025 5.35,7000,6071.75,-226.3,3,MACD_cross,53.71249587050588,-0.39985385717045574,-0.5086184812428632,0.1087646240724075,6.2043718238412255
long,30-01-2025 11.25,7070,6090.0,30-01-2025 11.35,7072,6088.75,-126.3,2,MACD_cross,43.86990952830178,-0.1248107083947616,-0.10673405909409216,-0.018076649300669448,1.5478776676992843
short,30-01-2025 21.55,7196,6079.0,30-01-2025 22.00,7197,6075.5,348.7,1,MACD_cross,48.00582355678363,-4.451164382755451,-4.495463172823138,0.04429879006768722,8.281230926654382
long,03-02-2025 20.15,7728,5972.5,03-02-2025 20.25,7730,5965.25,-726.3,2,MACD_cross,42.799903071000664,-0.08541549305300578,0.28496988737060064,-0.3703853804236064,9.11947574411241
short,04-02-2025 14.35,7936,6009.75,04-02-2025 14.40,7937,6010.75,-101.3,1,MACD_cross,51.56890233170953,-2.440688975615558,-2.890318952581284,0.44962997696572593,5.526732537409291
long,05-02-2025 0.25,8054,6052.75,05-02-2025 0.45,8058,6063.892626341981,1112.9626341980759,4,TP,63.89476152634681,2.318584515008297,1.394830506323622,0.9237540086846749,4.318859859988674
short,05-02-2025 14.30,8211,6032.5,05-02-2025 14.40,8213,6035.25,-276.3,2,MACD_cross,55.59254574577663,0.02788115434395877,-0.1316289611612388,0.15951011550519756,3.8964846370344643
short,05-02-2025 15.35,8224,6028.5,05-02-2025 15.40,8225,6027.75,73.7,1,MACD_cross,48.81451261302207,-1.74171413062777,-1.7488278583275627,0.007113727699792793,3.907673465829118
long,06-02-2025 14.50,8491,6100.25,06-02-2025 15.05,8494,6101.75,148.7,3,MACD_cross,54.522807353468956,0.8790379597821811,0.8976009153207237,-0.01856295553854259,2.2176373222232573
short,06-02-2025 21.35,8572,6095.25,06-02-2025 21.40,8573,6099.75,-451.3,1,MACD_cross,56.278492553538065,-1.042432431177076,-1.2971484526191153,0.2547160214420392,5.08189709524721
long,11-02-2025 3.20,9193,6087.75,11-02-2025 4.30,9195,6084.198149401709,-356.4850598290912,2,SL,31.80600298120983,-0.9249635989499438,-0.7063682851620979,-0.2185953137878459,2.6258937112627176
short,11-02-2025 18.05,9358,6070.25,11-02-2025 18.10,9359,6071.5,-126.3,1,MACD_cross,53.71908946287535,0.1715228398106774,0.13437408633109693,0.037148753479580465,2.493635137256725
short,12-02-2025 13.10,9575,6088.0,12-02-2025 13.15,9576,6088.0,-1.3,1,MACD_cross,53.1679385414265,-0.0885786651779199,-0.11985613396014187,0.03127746878222197,1.11794010562138
short,12-02-2025 22.05,9682,6052.75,12-02-2025 22.10,9683,6060.0,-726.3,1,MACD_cross,56.36789967848654,-0.14639266224821768,-0.319935120942962,0.17354245869474433,7.694071096869386
long,13-02-2025 12.10,9839,6086.0,13-02-2025 12.15,9840,6083.825574252771,-218.74257472291794,1,SL,37.976697124246144,-0.23472332499841286,-0.11277955909339296,-0.1219437659050199,1.5246445101892452
long,14-02-2025 12.15,10116,6140.75,14-02-2025 12.35,10120,6143.634714217299,287.1714217299006,4,TP,71.2053056821491,0.2652653453624225,-0.26080962986361145,0.526074975226034,1.373337388174529
long,19-02-2025 12.15,10896,6153.25,19-02-2025 12.25,10898,6152.022159699396,-124.08403006039298,2,SL,35.19763861049107,-0.09872403612007474,-0.07728445370004051,-0.02143958242003423,0.8639626217759322
long,20-02-2025 4.50,11083,6155.75,20-02-2025 5.05,11086,6155.0,-76.3,3,MACD_cross,46.37442075000983,-0.3611558538786994,-0.3426676887574774,-0.018488165121222033,2.339147454920399
long,20-02-2025 5.35,11092,6155.0,20-02-2025 5.45,11094,6153.25,-176.3,2,MACD_cross,40.70999549503068,-0.5497995764862935,-0.4671914821928884,-0.0826080942934051,1.9865768834021857
long,21-02-2025 8.25,11402,6135.0,21-02-2025 9.05,11410,6133.75,-126.3,8,MACD_cross,42.262560589157495,-0.17796092794833385,-0.13535204698205386,-0.04260888096627999,1.2020944043472215
long,21-02-2025 14.35,11476,6134.0,21-02-2025 16.05,11494,6136.75,273.7,18,MACD_cross,52.3370005357626,0.7860968344466528,0.8408147445133604,-0.054717910066707565,1.4732465417313645
long,24-02-2025 17.15,11784,6060.5,24-02-2025 17.20,11785,6060.25,-26.3,1,MACD_cross,48.832501872049384,0.39315755871666624,0.4770520474771186,-0.08389448876045236,2.12862875834987
short,25-02-2025 7.55,11948,6010.75,25-02-2025 8.30,11955,6015.112144019065,-437.5144019065454,7,SL,64.18649044652608,1.1581968027903713,1.0403544824289828,0.11784232036138853,2.4454538276348146
short,25-02-2025 13.35,12016,5999.0,25-02-2025 13.40,12017,6004.5,-551.3,1,MACD_cross,56.7273959647661,-3.4932343793125256,-4.360534712608255,0.8673003332957299,4.4781285407222065
long,26-02-2025 19.10,12359,5998.25,26-02-2025 19.20,12361,5993.39011207068,-487.28879293203937,2,SL,39.05002583320624,-0.3480491825466743,-0.03641758030691624,-0.31163160223975805,3.4441192518883628
short,27-02-2025 5.00,12465,5975.75,27-02-2025 6.55,12488,5970.25,548.7,23,MACD_cross,49.22134901965636,-1.836850009653972,-1.9915326231891652,0.1546826135351933,4.564835976699757
short,27-02-2025 20.50,12655,5983.5,27-02-2025 20.55,12656,5981.25,223.7,1,MACD_cross,48.77737008090953,-8.104866609412056,-8.89041055205692,0.785543942644864,11.739176363875531
short,27-02-2025 22.55,12680,5965.75,27-02-2025 23.00,12681,5966.25,-51.3,1,MACD_cross,50.64294104138874,-5.475635973229146,-6.33316977064498,0.8575337974158339,10.64578898659516
long,28-02-2025 21.45,12942,5895.75,28-02-2025 21.50,12943,5893.75,-201.3,1,MACD_cross,47.958610033109316,3.3997694674189916,4.095181942986874,-0.6954124755678821,10.71406061567932
short,04-03-2025 9.35,13348,5872.5,04-03-2025 9.50,13351,5876.5,-401.3,3,MACD_cross,61.92307130542816,1.1344097199735188,0.9774093999298531,0.1570003200436657,3.745588556619517
long,05-03-2025 3.00,13557,5824.0,05-03-2025 3.05,13558,5817.5,-651.3,1,MACD_cross,47.12538976463508,-2.1980626860249686,-2.0157535027387112,-0.18230918328625734,15.339595165895552
long,05-03-2025 3.20,13561,5823.0,05-03-2025 5.45,13578,5829.5,648.7,17,MACD_cross,49.4102654968276,1.9062712146542253,2.057553484660327,-0.15128227000610162,7.3624984982273425
long,05-03-2025 13.05,13666,5825.0,05-03-2025 13.10,13667,5823.75,-126.3,1,MACD_cross,46.85921958335052,0.025979992115935602,0.07663230272922669,-0.05065231061329109,3.634749134088658
short,05-03-2025 22.25,13778,5779.5,05-03-2025 22.30,13779,5782.25,-276.3,1,MACD_cross,52.48653265735898,-6.115853739985141,-7.390200555502366,1.2743468155172248,14.756304560574128
long,06-03-2025 5.50,13855,5847.25,06-03-2025 6.15,13860,5844.5,-276.3,5,MACD_cross,44.56599889453344,-0.25720439330052614,-0.10873764392116711,-0.14846674937935903,3.954002892980341
long,06-03-2025 7.25,13874,5843.25,06-03-2025 8.15,13884,5840.75,-251.3,10,MACD_cross,44.30585260352187,-0.8218349077324092,-0.7928309044067036,-0.02900400332570563,2.9178261720648138
short,06-03-2025 19.00,14013,5785.0,06-03-2025 19.05,14014,5787.75,-276.3,1,MACD_cross,53.376951887991275,-2.929042492010012,-3.340776112499634,0.4117336204896218,6.500399365772158
short,06-03-2025 20.30,14031,5781.5,06-03-2025 20.35,14032,5792.0,-1051.3,1,MACD_cross,59.73586376865373,-2.2475739441888436,-3.6825901720406975,1.435016227851854,11.02846540882448
long,07-03-2025 17.15,14268,5764.0,07-03-2025 17.20,14269,5763.25,-76.3,1,MACD_cross,47.14763921261096,0.15826064902830694,0.2112310184083905,-0.052970369380083565,3.540322795125594
short,11-03-2025 4.05,14674,5621.0,11-03-2025 4.45,14682,5600.651338441869,2033.5661558131426,8,TP,29.283723971245223,-4.441800198725105,-1.992076036720587,-2.4497241620045176,7.47709497645833
short,12-03-2025 5.15,14964,5588.0,12-03-2025 5.20,14965,5592.5,-451.3,1,MACD_cross,57.35152373405172,0.37837861540356243,0.09046412956439753,0.2879144858391649,5.162750295016458
long,13-03-2025 0.40,15197,5615.75,13-03-2025 0.45,15198,5617.25,148.7,1,MACD_cross,51.04956827037433,2.513722333928854,2.7701059232511587,-0.25638358932230476,10.184273926838921
short,13-03-2025 13.55,15344,5574.25,13-03-2025 14.00,15345,5573.25,98.7,1,MACD_cross,49.7031788661812,-2.019405053902119,-2.2098309819513027,0.19042592804918357,6.953182605581337
short,14-03-2025 1.30,15483,5538.75,14-03-2025 1.35,15484,5540.0,-126.3,1,MACD_cross,53.55320456116423,-1.837390006107853,-1.9838422290062825,0.14645222289842952,10.219374345416494
long,14-03-2025 19.35,15688,5581.75,14-03-2025 19.40,15689,5577.5,-426.3,1,MACD_cross,45.396160453962466,3.001016943418108,3.6921375693961114,-0.6911206259780034,9.83463450622166
long,17-03-2025 22.30,15999,5650.75,17-03-2025 23.00,16005,5670.975709859963,2021.270985996299,6,TP,64.79292924531215,3.7413875580805325,1.8290967899962096,1.9122907680843229,7.442498960544725
short,18-03-2025 23.50,16291,5670.5,19-03-2025 0.00,16293,5667.0,348.7,2,MACD_cross,49.985143720450964,-0.5629225912371112,-0.5745389017339494,0.0116163104968382,8.760708963780369
short,19-03-2025 1.20,16309,5670.75,19-03-2025 1.35,16312,5675.5,-476.3,3,MACD_cross,55.52570560107455,0.9029461018035363,0.6705335676445885,0.2324125341589478,7.796268283479617
short,19-03-2025 2.05,16318,5671.25,19-03-2025 4.20,16333,5672.25,-101.3,15,MACD_cross,56.7410024870248,-0.7409544422698673,-1.1089093786197903,0.36795493634992305,3.9022760538664203
short,19-03-2025 13.35,16444,5670.5,19-03-2025 13.40,16445,5669.75,73.7,1,MACD_cross,49.498448811575145,-2.2543003736936953,-2.5439246810346257,0.28962430734093036,4.34652151987754
long,19-03-2025 18.50,16507,5681.0,19-03-2025 19.00,16509,5690.042304819226,902.9304819226047,2,TP,58.79277592233764,0.4177316825343951,-0.21970752086694317,0.6374392034013383,4.446478600916826
short,21-03-2025 13.30,16995,5708.25,21-03-2025 13.40,16997,5706.0,223.7,2,MACD_cross,48.602659257151956,-1.2643111207780748,-1.3859354818817962,0.12162436110372132,3.6004383169408207
long,25-03-2025 5.25,17450,5811.5,25-03-2025 5.35,17452,5808.88484483748,-262.8155162519841,2,SL,42.995207111702854,-0.22906421105290065,-0.24604093641871022,0.016976725365809575,1.8833715049857496
long,25-03-2025 5.50,17455,5811.5,25-03-2025 5.55,17456,5810.25,-126.3,1,MACD_cross,44.629245715018726,-0.33945589665472653,-0.29023869324510665,-0.04921720340961988,2.1332445739769366
short,26-03-2025 14.00,17829,5823.0,26-03-2025 14.50,17839,5816.999058708828,598.794129117224,10,TP,39.00481780945447,-1.2727371209048215,-0.9903252356889168,-0.28241188521590466,2.619472246459728
